"Country or Area","Year","Area","Sex","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Switzerland","1999","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7143991",""
"Switzerland","1999","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5207800",""
"Switzerland","1998","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7110002",""
"Switzerland","1998","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5179876",""
"Switzerland","1997","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7088906",""
"Switzerland","1997","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5164795",""
"Switzerland","1996","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7071851",""
"Switzerland","1996","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5154753",""
"Switzerland","1995","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","7040687",""
"Switzerland","1995","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5134958",""
"Switzerland","1994","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6993795",""
"Switzerland","1994","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5105517",""
"Switzerland","1993","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6938265",""
"Switzerland","1993","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5072989",""
"Switzerland","1992","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6875364",""
"Switzerland","1992","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","5037554",""
"Switzerland","1991","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6799979",""
"Switzerland","1991","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4992549",""
"Switzerland","1990","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1996","6873687",""
"Switzerland","1990","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6712273",""
"Switzerland","1990","Urban","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1996","4737376",""
"Switzerland","1990","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4962611",""
"Switzerland","1989","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6646912",""
"Switzerland","1989","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4923064",""
"Switzerland","1988","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6593387",""
"Switzerland","1988","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4890473",""
"Switzerland","1987","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6545107",""
"Switzerland","1987","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4859204",""
"Switzerland","1986","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6504125",""
"Switzerland","1986","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4833196",""
"Switzerland","1985","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6470366",""
"Switzerland","1985","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4811969",""
"Switzerland","1984","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6441865",""
"Switzerland","1984","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4793678",""
"Switzerland","1983","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6418774",""
"Switzerland","1983","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4780173",""
"Switzerland","1982","Total","Both Sexes","Estimate - de jure","Final figure, complete","1982","6384300",""
"Switzerland","1982","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6391309",""
"Switzerland","1982","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4763394",""
"Switzerland","1981","Total","Both Sexes","Estimate - de jure","Final figure, complete","1981","6341726",""
"Switzerland","1981","Total","Both Sexes","Estimate - de jure","Final figure, complete","2010","6354073",""
"Switzerland","1981","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2010","4737767",""
"Switzerland","1980","Total","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1981","6365960",""
"Switzerland","1980","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6335243",""
"Switzerland","1980","Total","Both Sexes","Estimate - de jure","Final figure, complete","1981","6314200",""
"Switzerland","1980","Urban","Both Sexes","Census - de jure - complete tabulation","Final figure, complete","1982","3632590",""
"Switzerland","1980","Urban","Both Sexes","Estimate - de jure","Final figure, complete","2006","4723003",""
"Switzerland","1979","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6303573",""
"Switzerland","1979","Total","Both Sexes","Estimate - de jure","Final figure, complete","1979","6297600",""
"Switzerland","1978","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6285156",""
"Switzerland","1978","Total","Both Sexes","Estimate - de jure","Final figure, complete","1978","6292000",""
"Switzerland","1977","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6278319",""
"Switzerland","1977","Total","Both Sexes","Estimate - de jure","Final figure, complete","1977","6297600",""
"Switzerland","1976","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6284029",""
"Switzerland","1976","Total","Both Sexes","Estimate - de jure","Final figure, complete","1976","6333200",""
"Switzerland","1975","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6320978",""
"Switzerland","1975","Total","Both Sexes","Estimate - de jure","Final figure, complete","1975","6375500",""
"Switzerland","1974","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6356285",""
"Switzerland","1974","Total","Both Sexes","Estimate - de jure","Final figure, complete","1974","6350000",""
"Switzerland","1973","Total","Both Sexes","Estimate - de jure","Final figure, complete","2006","6326525",""
