Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,10/28/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Aruba,ABW,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,6.4,6.583333333,6.7,6.7,6.7,6.55,5.891666667,4.975,3.991666667,4.366666667,4.266666667,4.358333333,4.9,6.166666667,6.2,6.5,6.2,5.1,3.1,4.1,4.4,4.5,4.2,3.4,1.9,1.6,1.4,3.2,2.3,1.9,2,1.6,1.2,
Afghanistan,AFG,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,AGO,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.9166667,147.125,29.25,36.875,36.5725,39.5784,47.90879167,48.69083333,26.1725,15.43934553,13.39849662,4.500329209,6.756433685,6.538077601,7.589366608,12.75629919,6.30923166,3.603640267,3.145070736,3.526964417,3.31462018,5.544318125,6.342193231,6.87665707,
Albania,ALB,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18.5,27.33333333,19.83333333,15.3,16.78333333,27.27583333,22.56,12.94583333,8.3025,7.725,8.538333333,8.375497394,6.606694851,5.087550872,5.227425219,5.65909854,6.802742388,6.772436227,6.417543373,5.861752642,5.424908481,4.16420494,1.914729676,1.391929003,0.830833333,0.766666667,0.751183333,
Andorra,AND,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Arab Emirates,ARE,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argentina,ARG,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,115.4300141,131.7155631,117.2878827,79.61364982,157.0709583,126.2385435,281.3143766,396.8453309,630.0311445,94.68591356,175.9455646,371.8462834,17235.815,1517.875697,61.67583333,16.77916667,11.34083333,8.083333333,11.9025,7.356666667,6.966666667,7.561666667,8.046666667,8.337878334,16.16359749,39.24844582,10.16070068,2.614967591,3.762323048,6.421373588,7.971632256,11.04932902,11.60403511,9.166842067,10.67917176,12.02349546,14.85445459,20.41768368,21.16914854,24.27996214,18.99974256,25.10991706,
Armenia,ARM,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.18333333,32.19166667,26.07666667,24.93583333,27.34916667,18.07773576,14.90166667,9.598767786,6.874508985,4.896017294,5.813139935,5.836689707,6.254303237,6.628018609,8.652928631,8.950258925,9.248043314,9.569110014,10.16026529,10.42578503,14.14815917,11.6156572,9.013334979,8.663730594,
American Samoa,ASM,Deposit interest rate (%),FR.INR.DPST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
