country,year,cic,gdp,cd,bank_rate,tax_gdp_2,debt_gdp
United Kingdom ,1899,26225355.00,1804817756.00,0.01,6,6.696928369,33.67066763
United Kingdom ,1900,28437985.00,1875030802.00,0.02,4,6.989948694,34.99418456
United Kingdom ,1901,28603125.00,1890361274.00,0.02,4,7.539447941,37.94170785
United Kingdom ,1902,28487485.00,1897990764.00,0.02,4,7.981850344,39.66224818
United Kingdom ,1903,28106400.00,1870482528.00,0.02,4,7.80750858,40.38025163
United Kingdom ,1904,27629180.00,1874081466.00,0.01,3,7.741148085,40.35432999
United Kingdom ,1905,26986870.00,1944106758.00,0.01,4,7.5359139,38.77276111
United Kingdom ,1906,28265930.00,2021576044.00,0.01,6,7.305590649,36.90686657
United Kingdom ,1907,27885190.00,2094482594.00,0.01,7,7.113084952,34.92302605
United Kingdom ,1908,27810505.00,1992953883.00,0.01,2.5,7.281199867,36.02603814
United Kingdom ,1909,28649325.00,2035113165.00,0.01,4.5,6.389971073,35.55100789
United Kingdom ,1910,27748220.00,2121940371.00,0.01,4.5,8.356945878,33.29513358
United Kingdom ,1911,27110320.00,2208451964.00,0.01,4,8.209702724,31.23298785
United Kingdom ,1912,27988795.00,2303628322.00,0.01,5,7.805688292,29.62630035
United Kingdom ,1913,27707990.00,2404537406.00,0.01,5,7.824927555,28.26622733
United Kingdom ,1914,28210060.00,2433852663.00,0.01,5,8.669855458,41.38195156
United Kingdom ,1915,34222880.00,2916456549.00,0.01,5,10.19406939,63.70901956
United Kingdom ,1916,32507860.00,3381059675.00,0.01,6,14.6256388,102.2486443
United Kingdom ,1917,38584710.00,4184401064.00,0.01,5,15.48795297,125.437477
United Kingdom ,1918,47251225.00,4968237588.00,0.01,5,16.336998,137.3330407
United Kingdom ,1919,70335745.00,5337207075.00,0.01,6,22.12645803,140.2476963
United Kingdom ,1920,96526440.00,5842722983.00,0.02,7,22.95010816,125.6050236
United Kingdom ,1921,127697910.00,4799506653.00,0.03,5,25.00621599,160.3529395
United Kingdom ,1922,121545695.00,4361473437.00,0.03,3,22.16510117,178.5996203
United Kingdom ,1923,123940440.00,4162624390.00,0.03,4,20.57355937,185.7908443
