"","country","year","cic","country_code","gdp","cd","log_cd","log_cic","interest_rates_imf","country_code.y","tax_gdp","uncertainty","eci","eci_2","overall_score","property_rights","government_integrity","judicial_effectiveness","tax_burden","government_spending","business_freedom","monetary_freedom","trade_freedom","investment_freedom","financial_freedom","region"
"23","Bangladesh",2002,1.44148e+11,"BGD",3.14e+12,0.0459070063694268,-3.08113752935049,25.6941063864982,6,"BGD",6.691384191,0.2508133,-1.03815,-1.00121,51.9,30,"23.0","N/A",77.3,93.3,40,72.7,"50.6","50.0",30,"South Asia"
"24","Belarus",2002,71482701.38,"BLR",2613830000,0.0273478770157202,-3.59911637595254,18.0849660396511,38,"BLR",14.20103832,0.0193274,0.722964,0.794905,39,30,"41.0","N/A",68.2,36.5,40,0,"75.4","30.0",30,"Europe and Central Asia"
"25","Brazil",2002,4.9931e+10,"BRA",1.49e+12,0.0335107382550336,-3.39588934658829,24.6339078892976,25,"BRA",15.7200793,0.3490374,0.450486,0.606053,61.5,50,"39.0","N/A",86.3,71.2,70,79.3,"58.0","50.0",50,"Latin America and The Caribbean"
"26","Canada",2002,41146671000,"CAN",1.19e+12,0.0345770344537815,-3.36456556140446,24.4404088616475,2.75,"CAN",13.42525802,0.19201015,0.89244,1.13946,74.6,90,"92.0","N/A",71.1,49.6,85,85.4,"78.6","50.0",70,"North America"
"27","Chile",2002,1.786186e+12,"CHL",4.8e+13,0.0372122083333333,-3.29111839053906,28.2111037362974,3,"CHL",16.20169514,0.015437825,-0.089827,-0.153392,77.8,90,"74.0","N/A",74,82.7,85,82.7,"71.4","70.0",70,"Latin America and The Caribbean"
"28","Denmark",2002,4.7655e+10,"DNK",1.41e+12,0.0337978723404255,-3.38735742698262,24.587253393336,2.86,"DNK",30.11718967,0.124614425,1.54904,1.22889,71.1,90,"98.0","N/A",32.2,5.9,85,89.6,"79.6","70.0",90,"Europe and Central Asia"
"29","Ghana",2002,494440000,"GHA",4886200000,0.101191109655765,-2.29074437523908,20.0189363669839,24.5,"GHA",17.49311121,0.098923725,-1.13735,-1.75836,57.2,50,"35.0","N/A",73.3,79.7,55,65.9,"55.6","50.0",50,"Sub-Saharan Africa"
"30","Israel",2002,18004337942,"ISR",5.73e+11,0.0314211831448517,-3.46027299107586,23.6138785625853,9.1,"ISR",25.73076705,0.19824425,1.10809,1.06623,66.9,70,"66.0","N/A",54.8,33.7,70,85,"83.0","90.0",50,"Middle East and North Africa"
"31","Jamaica",2002,24354508000,"JAM",4.71e+11,0.05170808492569,-2.96214112815268,23.9159828028101,12.95,"JAM",21.85901019,0.2069832,-0.636068,-0.783037,61.7,50,"38.0","N/A",76.1,56.7,70,77.4,"66.8","90.0",30,"Latin America and The Caribbean"
"32","Moldova",2002,2477639634,"MDA",22555858000,0.109844619255894,-2.20868846400124,21.6305721834278,9.5,"MDA",12.88135437,0.165088175,-0.019165,0.286507,57.4,50,"26.0","N/A",78.2,76.5,55,54.7,"76.0","50.0",50,"Europe and Central Asia"
"33","New Zealand",2002,3303137310.96,"NZL",1.35e+11,0.0244676837848889,-3.71040206130439,21.9181385540805,5.75,"NZL",28.20805365,0.2119352,0.192239,0.399265,80.7,90,"94.0","N/A",62.5,49.6,85,86.5,"78.4","90.0",90,"East Asia and Pacific"
