"","country","year","low","high","total","country_code","gdp","cd_low","cd_high","cd_total","deposit_interest_rate","treasury_bill_rate","tax_gdp","eci","eci_2","uncertainty","monetary_freedom","business_freedom","property_rights","investment_freedom","financial_freedom","trade_freedom","government_integrity","judicial_effectiveness","overall_score","tax_burden","government_spending","fiscal_health","labor_freedom","crime","urban_pop_growth"
"96","Singapore",2016,4.343e+09,3.689e+10,4.1233e+10,"SGP",4.39e+11,0.00989293849658314,0.0840318906605923,0.0939248291571754,0.19,NA,13.35034682,1.79973,NA,0.0854877,81.8,95,90,85,80,90,84,NA,87.8,91.2,90.1,NA,90.7,0.3,1.297436099
"97","Singapore",2017,4.386e+09,4.0086e+10,4.4472e+10,"SGP",4.67e+11,0.00939186295503212,0.0858372591006424,0.0952291220556745,0.141666667,NA,14.19087441,1.86534,NA,0.105903725,84.3,95.1,97.1,85,80,90,87.9,91.5,88.6,90.5,90.1,80.7,90.8,0.2,0.08859547
"98","Singapore",2018,4.562e+09,4.3075e+10,4.7637e+10,"SGP",4.91e+11,0.00929124236252546,0.0877291242362526,0.097020366598778,0.156666667,NA,NA,NA,NA,0.06388745,85.2,90.9,98.4,85,80,90,91.2,90.9,88.8,90.4,90.6,80,92.6,NA,0.469704299
"99","South Africa",2012,1.3236e+10,9.4357e+10,1.07593e+11,"ZAF",3.25e+12,0.00407261538461538,0.0290329230769231,0.0331055384615385,5.436666667,5.2858,25.58813186,-0.023795,0.348635,0.72272995,75,75.8,50,45,60,76.3,45,NA,62.7,70.7,71.9,NA,57.3,30.6,2.417913703
"100","South Africa",2013,1.3747e+10,1.00495e+11,1.14242e+11,"ZAF",3.54e+12,0.00388333333333333,0.028388418079096,0.0322717514124294,5.1525,5.0783,26.04390961,-0.192079,0.249101,0.5499399,75.8,74.7,50,45,60,76.3,41,NA,61.8,70.5,69.2,NA,55.6,31.7,2.425807019
"101","South Africa",2014,1.4482e+10,1.11767e+11,1.26249e+11,"ZAF",3.81e+12,0.0038010498687664,0.0293351706036745,0.0331362204724409,5.800833333,5.8,26.54119201,-0.204966,0.248038,0.494686575,75.3,74.5,50,55,60,76.1,41.6,NA,62.5,68.7,69.1,NA,54.4,32.6,2.393447247
"102","South Africa",2015,1.4841e+10,1.17731e+11,1.32572e+11,"ZAF",4.05e+12,0.00366444444444444,0.0290693827160494,0.0327338271604938,6.153333333,6.0525,27.3427766,0.303549,0.261409,0.731975,74.9,73,50,50,60,76.6,42,NA,62.6,69.5,68.2,NA,61.6,33.8,2.328062523
"103","South Africa",2016,1.4845e+10,1.2873e+11,1.43576e+11,"ZAF",4.36e+12,0.00340481651376147,0.0295252293577982,0.0329302752293578,7.171666667,7.2292,27.10558769,0.28477,NA,1.2623438,74.6,69.7,50,45,60,77,44,NA,61.9,70.1,69.9,NA,58.7,34,2.253040591
"104","South Africa",2017,1.529e+10,1.35028e+11,1.50319e+11,"ZAF",4.65e+12,0.00328817204301075,0.0290382795698925,0.0323266666666667,7.245833333,7.33,26.96606681,0.268797,NA,1.3428805,75.8,62,67.6,40,50,77.3,47.6,59.7,62.3,70.2,68.4,70,58.9,35.9,2.183711354
"105","South Africa",2018,1.8158e+10,1.42235e+11,1.60393e+11,"ZAF",4.87e+12,0.00372854209445585,0.0292063655030801,0.0329349075975359,6.998333333,7.1567,NA,NA,NA,0.61892955,74.6,65.1,67.7,50,50,71.6,45.4,65.9,63,62.5,68.1,74.6,60.1,NA,2.121665549
"106","Sweden",2012,1.285e+10,7.82e+10,9.105e+10,"SWE",3.69e+12,0.00348238482384824,0.0211924119241192,0.0246747967479675,NA,1.2533,26.04981307,1.75179,1.20199,0.306910625,80.9,94.6,90,90,80,87.1,92,NA,71.7,39.1,8.8,NA,54.6,0.7,1.117727362
"107","Sweden",2013,1.299e+10,6.731e+10,8.03e+10,"SWE",3.77e+12,0.00344562334217507,0.0178541114058355,0.0212997347480106,NA,0.925,26.21171142,1.75214,1.17765,0.23604635,82.1,93.2,90,90,80,86.8,93,NA,72.9,39.6,21,NA,53.6,0.9,1.215745795
"108","Sweden",2014,1.271e+10,6.518e+10,7.789e+10,"SWE",3.94e+12,0.0032258883248731,0.0165431472081218,0.0197690355329949,NA,0.4208,26.27641988,1.6459,1.114,0.419254675,82.5,91.1,90,90,80,87.8,92.3,NA,73.1,42.9,21.4,NA,52.9,0.9,1.353460114
"109","Sweden",2015,1.26e+10,5.559e+10,6.819e+10,"SWE",4.2e+12,0.003,0.0132357142857143,0.0162357142857143,NA,-0.2892,26.97516127,1.92429,1.10674,0.36279995,85.5,87.9,90,90,80,88,89,NA,72.7,43,19.2,NA,54,1.1,1.411616216
"110","Sweden",2016,1.48e+10,4.273e+10,5.753e+10,"SWE",4.39e+12,0.00337129840546697,0.00973348519362187,0.0131047835990888,NA,-0.6558,27.75667159,1.86277,NA,0.342654775,87.1,89.7,90,85,80,88,87,NA,72,44.4,14.9,NA,53.5,1.1,1.601319652
"111","Sweden",2017,1.358e+10,4.163e+10,5.521e+10,"SWE",4.58e+12,0.00296506550218341,0.00908951965065502,0.0120545851528384,NA,-0.6608,27.85329799,1.80773,NA,0.1352895,85.3,90.8,88.6,85,80,87,87.4,82.2,74.9,44.4,21.7,93.4,53.2,1.1,1.685372102
"112","Sweden",2018,1.273e+10,4.641e+10,5.914e+10,"SWE",4.79e+12,0.00265762004175365,0.00968893528183716,0.0123465553235908,NA,NA,NA,NA,NA,0.1456746,83.8,89.3,92.6,85,80,86.9,92.9,88.2,76.3,43.9,23.2,96.1,53.7,NA,1.56636617
"113","Switzerland",2012,2.363e+09,5.9439e+10,6.1802e+10,"CHE",6.26e+11,0.00377476038338658,0.0949504792332268,0.0987252396166134,0.038333333,NA,9.520371529,2.01041,1.40338,0.13808505,84.4,77.9,90,80,80,90,87,NA,81.1,67.9,65.8,NA,87.9,0.6,1.091689113
"114","Switzerland",2013,2.395e+09,6.3371e+10,6.5766e+10,"CHE",6.38e+11,0.00375391849529781,0.0993275862068966,0.103081504702194,0.033333333,NA,9.602815894,2.05181,1.40621,0.200722325,86.2,75.8,90,80,80,90,88,NA,81,68.1,63.8,NA,87.9,0.7,1.178392145
"115","Switzerland",2014,2.461e+09,6.5135e+10,6.7596e+10,"CHE",6.5e+11,0.00378615384615385,0.100207692307692,0.103993846153846,0.029166667,NA,9.401768206,1.99456,1.36414,0.32018265,85.2,75.4,90,85,80,90,88.1,NA,81.6,68.9,65.7,NA,87.4,0.5,1.249960832
"116","Switzerland",2015,2.476e+09,7.0407e+10,7.2883e+10,"CHE",6.54e+11,0.00378593272171254,0.107655963302752,0.111441896024465,-0.1425,NA,9.8416036,2.15805,1.36086,0.570924975,86.3,78.1,90,85,80,90,85,NA,80.5,70.3,65.1,NA,75.3,0.7,1.168186391
"117","Switzerland",2016,2.501e+09,7.5585e+10,7.8086e+10,"CHE",6.6e+11,0.00378939393939394,0.114522727272727,0.118312121212121,-0.200833333,NA,9.747283671,2.22117,NA,0.6721454,87.8,82.2,90,85,80,90,86,NA,81,70.9,66.3,NA,72.1,0.5,1.120513599
"118","Switzerland",2017,2.61e+09,7.9029e+10,8.1639e+10,"CHE",6.69e+11,0.00390134529147982,0.118130044843049,0.122031390134529,-0.271760461,NA,10.4934186,2.24386,NA,0.355586725,84.4,76.8,86.9,85,90,90,80.3,77.6,81.5,70.9,67.5,95.8,72.2,0.5,0.962986439
"119","Switzerland",2018,2.661e+09,7.9578e+10,8.2239e+10,"CHE",6.9e+11,0.00385652173913043,0.115330434782609,0.119186956521739,-0.315815476,NA,NA,NA,NA,0.294608675,85.2,75.7,84.2,85,90,90,82.8,82.1,81.7,70.5,65.4,95.9,73.9,NA,0.811419636
"120","Turkey",2012,1.6698e+10,4.3775e+10,6.0473e+10,"TUR",1.57e+12,0.0106356687898089,0.0278821656050955,0.0385178343949045,16.35166667,NA,18.39275841,0.450234,0.636138,0.47478435,71.9,67.1,50,70,60,85.4,44,NA,62.5,77.7,58.5,NA,40,4.3,2.430864793
"121","Turkey",2013,1.8497e+10,5.6265e+10,7.4762e+10,"TUR",1.81e+12,0.0102193370165746,0.031085635359116,0.0413049723756906,15.76333333,NA,18.53188787,0.287393,0.583639,0.231531175,73.3,68.2,50,65,60,85.2,42,NA,62.9,77,64.9,NA,43.1,NA,2.465113937
"122","Turkey",2014,1.9092e+10,6.5974e+10,8.5066e+10,"TUR",2.04e+12,0.00935882352941176,0.0323401960784314,0.0416990196078431,16.765,NA,18.0698217,0.378481,0.659361,0.392007375,71.8,67.6,50,70,60,84.5,44,NA,64.9,77.5,63.5,NA,59.7,NA,2.45193482
"123","Turkey",2015,2.1144e+10,8.1845e+10,1.02989e+11,"TUR",2.34e+12,0.00903589743589744,0.0349764957264957,0.0440123931623932,14.91666667,NA,18.23818729,0.133999,0.652583,0.72211465,72.4,61,45,75,60,84.6,50,NA,63.2,76.1,57.6,NA,50.2,NA,2.394129797
"124","Turkey",2016,2.3352e+10,9.9599e+10,1.22951e+11,"TUR",2.61e+12,0.00894712643678161,0.0381605363984674,0.047107662835249,14.61,NA,18.32477429,0.150909,NA,0.513119575,71.5,65.4,40,75,60,84.4,45,NA,62.1,75.2,55.6,NA,48.6,NA,2.340230847
